,timestamp,LHA_count_1,LHA_count_2,LHB_count_1,LHB_count_2,real_x_mm,real_y_mm,real_z_mm
0,2023-05-04 14:51:42.320539,33947,78974,39629,85052,0,0,160
1,2023-05-04 14:54:16.910967,33376,78472,39060,84468,40,0,160
2,2023-05-04 14:56:34.982815,32790,77950,38496,83875,80,0,160
3,2023-05-04 14:58:19.074365,32193,77418,37941,83286,120,0,160
4,2023-05-04 15:00:12.460133,31583,76867,37390,82709,160,0,160
5,2023-05-04 15:02:17.449857,30965,76314,36859,82145,200,0,160
6,2023-05-04 15:06:05.434803,30342,75731,36337,81580,240,0,160
7,2023-05-04 15:19:18.931751,34248,78667,39959,84746,0,0,120
8,2023-05-04 15:20:44.828718,33686,78162,39386,84157,40,0,120
9,2023-05-04 15:21:55.922073,33103,77637,38818,83572,80,0,120
10,2023-05-04 15:23:06.010233,32508,77108,38261,82989,120,0,120
11,2023-05-04 15:24:37.706791,31904,76553,37714,82413,160,0,120
12,2023-05-04 15:26:29.187570,31291,75990,37173,81846,200,0,120
13,2023-05-04 15:29:26.476448,30669,75408,36658,81292,240,0,120
14,2023-05-04 15:33:12.651056,34547,78358,40265,84419,0,0,80
15,2023-05-04 15:34:13.544878,33989,77855,39693,83840,40,0,80
16,2023-05-04 15:35:07.437285,33410,77325,39126,83247,80,0,80
17,2023-05-04 15:35:48.002754,32825,76781,38563,82666,120,0,80
18,2023-05-04 15:36:27.897473,32217,76224,38013,82098,160,0,80
19,2023-05-04 15:37:10.210363,31608,75658,37478,81537,200,0,80
20,2023-05-04 15:38:01.214542,30987,75077,36948,80985,240,0,80
21,2023-05-04 15:40:00.086945,34850,78055,40572,84094,0,0,40
22,2023-05-04 15:40:40.688695,34295,77542,39997,83514,40,0,40
23,2023-05-04 15:41:20.803406,33723,77010,39428,82933,80,0,40
24,2023-05-04 15:42:11.686544,33138,76465,38867,82354,120,0,40
25,2023-05-04 15:42:54.974792,32537,75902,38315,81781,160,0,40
26,2023-05-04 15:43:53.577983,31924,75330,37771,81223,200,0,40
27,2023-05-04 15:45:02.273727,31301,74746,37242,80676,240,0,40
28,2023-05-04 15:47:16.930601,35146,77742,40873,83767,0,0,0
29,2023-05-04 15:48:21.242563,34593,77228,40297,83186,40,0,0
30,2023-05-04 15:49:21.632855,34019,76691,39724,82603,80,0,0
31,2023-05-04 15:50:09.320068,33439,76142,39162,82031,120,0,0
32,2023-05-04 15:50:43.020233,32847,75580,38610,81469,160,0,0
33,2023-05-04 15:51:35.006274,32240,75005,38066,80914,200,0,0
34,2023-05-04 15:52:55.395988,31622,74418,37534,80371,240,0,0
35,2023-05-04 16:02:29.921740,33776,78673,39849,85108,0,40,160
36,2023-05-04 16:03:08.518705,33222,78185,39290,84540,40,40,160
37,2023-05-04 16:03:41.524999,32654,77673,38734,83963,80,40,160
38,2023-05-04 16:04:12.640155,32067,77146,38194,83396,120,40,160
39,2023-05-04 16:04:49.518250,31479,76609,37662,82841,160,40,160
40,2023-05-04 16:05:21.322773,30882,76063,37142,82282,200,40,160
41,2023-05-04 16:06:08.500615,30271,75499,36628,81735,240,40,160
42,2023-05-04 16:06:58.084110,34066,78371,40143,84792,0,40,120
43,2023-05-04 16:07:32.501509,33511,77882,39588,84224,40,40,120
44,2023-05-04 16:08:15.414215,32950,77364,39032,83653,80,40,120
45,2023-05-04 16:08:46.487186,32371,76837,38490,83088,120,40,120
46,2023-05-04 16:09:25.889860,31784,76302,37957,82525,160,40,120
47,2023-05-04 16:10:04.178454,31187,75747,37429,81977,200,40,120
48,2023-05-04 16:10:38.362710,30580,75185,36918,81431,240,40,120
49,2023-05-04 16:11:26.572278,34356,78071,40439,84475,0,40,80
50,2023-05-04 16:11:59.472162,33818,77576,39880,83907,40,40,80
51,2023-05-04 16:12:32.068525,33251,77060,39329,83342,80,40,80
52,2023-05-04 16:13:06.086733,32675,76526,38785,82787,120,40,80
53,2023-05-04 16:13:33.538779,32094,75986,38245,82220,160,40,80
54,2023-05-04 16:14:08.137806,31499,75434,37720,81674,200,40,80
55,2023-05-04 16:14:39.946412,30896,74866,37211,81138,240,40,80
56,2023-05-04 16:15:39.148054,34644,77778,40734,84160,0,40,40
57,2023-05-04 16:16:36.541359,34113,77275,40185,83598,40,40,40
58,2023-05-04 16:17:32.541886,33551,76753,39629,83027,80,40,40
59,2023-05-04 16:18:04.730512,32983,76223,39077,82477,120,40,40
60,2023-05-04 16:18:41.425016,32394,75680,38538,81916,160,40,40
61,2023-05-04 16:21:17.698966,31808,75119,38010,81372,200,40,40
62,2023-05-04 16:21:58.204828,31205,74550,37490,80843,240,40,40
63,2023-05-04 16:22:40.702713,34947,77483,41031,83842,0,40,0
64,2023-05-04 16:25:18.169220,34403,76974,40473,83285,40,40,0
65,2023-05-04 16:25:59.254011,33850,76452,39916,82722,80,40,0
66,2023-05-04 16:28:58.070539,33282,75913,39375,82169,120,40,0
67,2023-05-04 16:29:24.034391,32702,75366,38832,81613,160,40,0
68,2023-05-04 16:29:57.931895,32120,74806,38300,81072,200,40,0
69,2023-05-04 16:30:45.244604,31516,74235,37773,80542,240,40,0
70,2023-05-04 16:40:55.127739,33621,78396,40033,85152,0,80,160
71,2023-05-04 16:41:45.183284,33084,77916,39500,84600,40,80,160
72,2023-05-04 16:44:14.840762,32526,77419,38952,84040,80,80,160
73,2023-05-04 16:45:32.437847,31963,76901,38425,83488,120,80,160
74,2023-05-04 16:46:10.827407,31384,76376,37906,82943,160,80,160
75,2023-05-04 16:48:21.818736,30800,75848,37391,82402,200,80,160
76,2023-05-04 16:49:07.208006,30211,75293,36898,81870,240,80,160
77,2023-05-04 16:50:00.394775,33904,78100,40320,84843,0,80,120
78,2023-05-04 16:50:40.591616,33368,77617,39782,84293,40,80,120
79,2023-05-04 16:51:39.588631,32818,77116,39243,83735,80,80,120
80,2023-05-04 16:52:22.900502,32257,76602,38712,83184,120,80,120
81,2023-05-04 16:53:13.969027,31683,76067,38189,82645,160,80,120
82,2023-05-04 16:53:48.175085,31100,75535,37679,82111,200,80,120
83,2023-05-04 16:54:22.163327,30513,74984,37172,81580,240,80,120
84,2023-05-04 16:55:33.471708,34186,77810,40609,84536,0,80,80
85,2023-05-04 16:56:21.262096,33657,77325,40073,83988,40,80,80
86,2023-05-04 16:57:03.257331,33111,76814,39528,83436,80,80,80
87,2023-05-04 16:59:15.443263,32549,76300,39006,82891,120,80,80
88,2023-05-04 16:59:48.943037,31980,75767,38472,82348,160,80,80
89,2023-05-04 17:00:21.138745,31400,75227,37958,81824,200,80,80
90,2023-05-04 17:00:56.039269,30817,74676,37458,81288,240,80,80
91,2023-05-04 17:01:53.609735,34471,77519,40897,84226,0,80,40
92,2023-05-04 17:03:45.513760,33952,77033,40356,83684,40,80,40
93,2023-05-04 17:04:18.704202,33398,76520,39813,83132,80,80,40
94,2023-05-04 17:04:59.107171,32847,76003,39280,82593,120,80,40
95,2023-05-04 17:05:55.293695,32276,75464,38755,82051,160,80,40
96,2023-05-04 17:06:36.994914,31706,74924,38238,81521,200,80,40
97,2023-05-04 17:07:12.885242,31127,74376,37734,81005,240,80,40
98,2023-05-04 17:08:25.172510,34749,77231,41186,83925,0,80,0
99,2023-05-04 17:09:01.769303,34233,76740,40642,83386,40,80,0
100,2023-05-04 17:10:57.374089,33690,76228,40098,82838,80,80,0
101,2023-05-04 17:11:29.546631,33140,75702,39564,82289,120,80,0
102,2023-05-04 17:12:20.573085,32577,75165,39039,81761,160,80,0
103,2023-05-04 17:12:55.339445,32004,74617,38519,81232,200,80,0
104,2023-05-04 17:13:38.837926,31419,74063,38014,80711,240,80,0
105,2023-05-04 17:18:11.206472,33475,78127,40210,85191,0,120,160
106,2023-05-04 17:19:18.395036,32950,77653,39687,84658,40,120,160
107,2023-05-04 17:19:51.688469,32406,77161,39159,84104,80,120,160
108,2023-05-04 17:20:41.192431,31862,76662,38643,83575,120,120,160
109,2023-05-04 17:23:50.969916,31297,76153,38135,83040,160,120,160
110,2023-05-04 17:24:47.671060,30728,75635,37634,82517,200,120,160
111,2023-05-04 17:25:41.269981,30159,75099,37144,81999,240,120,160
112,2023-05-04 17:26:45.543322,33754,77842,40495,84895,0,120,120
113,2023-05-04 17:27:31.349136,33233,77367,39970,84359,40,120,120
114,2023-05-04 17:28:08.943352,32697,76875,39438,83818,80,120,120
115,2023-05-04 17:28:42.724583,32145,76371,38921,83284,120,120,120
116,2023-05-04 17:29:16.862536,31593,75856,38412,82754,160,120,120
117,2023-05-04 17:29:55.521714,31025,75332,37910,82236,200,120,120
118,2023-05-04 17:30:41.216811,30454,74793,37417,81717,240,120,120
119,2023-05-04 17:31:44.713959,34028,77562,40772,84594,0,120,80
120,2023-05-04 17:32:25.032510,33511,77082,40248,84062,40,120,80
121,2023-05-04 17:34:05.290907,32973,76587,39718,83525,80,120,80
122,2023-05-04 17:34:47.999166,32428,76079,39203,82995,120,120,80
123,2023-05-04 17:37:08.468330,31879,75565,38688,82464,160,120,80
124,2023-05-04 17:37:50.764609,31313,75034,38187,81944,200,120,80
125,2023-05-04 17:38:21.666192,30749,74500,37691,81434,240,120,80
126,2023-05-04 17:39:17.865242,34304,77280,41053,84301,0,120,40
127,2023-05-04 17:40:04.347478,33791,76797,40521,83766,40,120,40
128,2023-05-04 17:40:51.458571,33258,76300,39996,83233,80,120,40
129,2023-05-04 17:41:31.439535,32717,75790,39474,82700,120,120,40
130,2023-05-04 17:42:19.750403,32167,75273,38962,82179,160,120,40
131,2023-05-04 17:43:19.028624,31607,74739,38457,81661,200,120,40
132,2023-05-04 17:44:02.834376,31036,74201,37960,81157,240,120,40
133,2023-05-04 17:44:58.705630,34579,76997,41330,84000,0,120,0
